SURJEK_FLOW_METER_1,SURJEK_FLOW_METER_2,ROTATIONAL_PUMP_RPM,SURJEK_PUMP_TORQUE,MAXIMUM_DAILY_PUMP_TORQUE,SURJEK_AMMONIA_FLOW_RATE,SURJEK_TUBE_PRESSURE,SURJEK_ESTIMATED_EFFICIENCY,PUMP FAILURE (1 or 0),TIMEFRAME
63.33098257,45.06074743,33,235.9073,272.8512867,0,381.605107,1.231935752,0,09/12/2014 10:40:00
63.13030547,45.08619555,33,261.054,272.852333,0,381.6312174,1.230828411,0,09/12/2014 10:40:00
63.03069565,45.0988272,33,229.1492,272.8528524,0,381.6441778,1.230278762,0,09/12/2014 10:40:00
62.93038224,45.11154808,33,256.7319,272.8533755,0,381.6572298,1.22972523,0,09/12/2014 10:40:00
62.72965488,45.13700257,33,231.6639,272.8544221,0,381.6833467,1.228617612,0,09/12/2014 10:40:00
62.62692912,45.15002936,33,258.1464,272.8549577,0,381.6967126,1.228050769,0,09/12/2014 10:41:00
62.52817369,45.16255266,33,234.8857,272.8554726,0,381.7095618,1.227505835,0,09/12/2014 10:41:00
62.42625203,45.17547748,33,246.6732,272.856004,0,381.722823,1.226943429,0,09/12/2014 10:41:00
62.22708265,45.20073441,33,230.9566,272.8570425,0,381.7487373,1.225844407,0,09/12/2014 10:41:00
62.12671898,45.21346165,33,258.6965,272.8575658,0,381.7617957,1.225290598,0,09/12/2014 10:41:00
61.92523778,45.23901174,33,246.4375,272.8586164,0,381.7880108,1.224178821,0,09/12/2014 10:41:00
61.12162478,45.34091895,33,257.3606,272.8628065,0,381.8925702,1.219744466,0,09/12/2014 10:41:00
61.01970313,45.35384376,33,238.0291,272.863338,0,381.9058314,1.21918206,0,09/12/2014 10:41:00
60.92009332,45.36647541,33,256.1818,272.8638573,0,381.9187918,1.218632411,0,09/12/2014 10:41:00
60.71941622,45.39192353,33,230.7208,272.8649037,0,381.9449023,1.21752507,0,09/12/2014 10:41:00
60.61749457,45.40484835,33,267.8907,272.8654351,0,381.9581635,1.216962664,0,09/12/2014 10:41:00
60.51788476,45.41748,33,240.3866,272.8659545,0,381.9711239,1.216413015,0,09/12/2014 10:41:00
60.41757134,42.05566,33,252.2889687,272.8664775,0,381.9841758,1.215859483,0,09/12/2014 10:41:00
60.31720766,45.98877,33,264.1973,272.8670009,0,381.9972343,1.215305674,0,09/12/2014 10:41:00
60.21684399,46.04706171,33,240.3866,272.8675242,0,382.0102928,1.214751865,0,09/12/2014 10:41:00
60.1156762,46.10582045,33,251.7026,272.8680517,0,382.0234559,1.214193619,0,09/12/2014 10:41:00
60.01455866,46.16455,33,241.1698577,272.8685789,0,382.0366125,1.21363565,0,09/12/2014 10:41:00
59.91499911,41.87988,33,230.7994,272.869098,0,382.0495663,1.213086279,0,09/12/2014 10:41:00
59.81307745,45.81299,33,262.2328,272.8696295,0,382.0628275,1.212523873,0,09/12/2014 10:41:00
59.71427176,45.48799557,33,240.0722,272.8701446,0,382.0756833,1.211978661,0,09/12/2014 10:41:00
59.51279055,44.82527797,33,264.1187,272.8711952,0,382.1018984,1.210866883,0,09/12/2014 10:42:00
59.41242687,44.49515898,33,227.6561,272.8717185,0,382.1149569,1.210313074,0,09/12/2014 10:42:00
59.3120632,44.16504,33,250.9953,272.8722418,0,382.1280154,1.209759265,0,09/12/2014 10:42:00
59.10977787,44.06429708,33,236.8503,272.8732965,0,382.154335,1.20864305,0,09/12/2014 10:42:00
59.01021832,44.01471404,33,264.7474,272.8738157,0,382.1672889,1.208093678,0,09/12/2014 10:42:00
58.90985464,43.96473053,33,238.5006,272.874339,0,382.1803474,1.207539869,0,09/12/2014 10:42:00
58.70917755,43.86478855,33,259.6395,272.8753853,0,382.2064578,1.206432528,0,09/12/2014 10:42:00
58.60881387,43.81480504,33,227.6561,272.8759086,0,382.2195163,1.205878719,0,09/12/2014 10:42:00
58.50689222,43.76404562,33,258.4608,272.8764401,0,382.2327775,1.205316313,0,09/12/2014 10:42:00
58.40728241,43.71443756,33,247.852,272.8769594,0,382.2457379,1.204766664,0,09/12/2014 10:42:00
58.30696899,43.66447908,33,233.6284,272.8774825,0,382.2587899,1.204213132,0,09/12/2014 10:42:00
58.20504735,43.61371967,33,261.4469,272.8780139,0,382.2720511,1.203650726,0,09/12/2014 10:42:00
58.10543753,43.5641116,33,244.4729,272.8785333,0,382.2850115,1.203101077,0,09/12/2014 10:42:00
57.70403308,43.3642026,33,254.6102,272.8806263,0,382.3372389,1.200886118,0,09/12/2014 10:42:00
57.60366941,43.3142191,33,240.308,272.8811496,0,382.3502974,1.200332309,0,09/12/2014 10:42:00
57.19990288,43.11313373,33,255.1603,272.8832549,0,382.4028321,1.198104317,0,09/12/2014 10:42:00
57.10034332,43.06355068,33,240.9366,272.883774,0,382.415786,1.197554945,0,09/12/2014 10:42:00
56.99842167,43.01279127,33,257.282,272.8843054,0,382.4290472,1.196992539,0,09/12/2014 10:42:00
56.79769433,42.91282426,33,232.9997,272.885352,0,382.4551641,1.195884921,0,09/12/2014 10:42:00
56.69893887,42.86364169,33,260.1109,272.8858669,0,382.4680134,1.195339986,0,09/12/2014 10:42:00
56.59777108,42.81325771,33,245.2587,272.8863944,0,382.4811765,1.19478174,0,09/12/2014 10:43:00
56.19636664,42.61334871,33,255.7103,272.8884874,0,382.5334039,1.192566781,0,09/12/2014 10:43:00
55.99488544,42.51300627,33,228.3633,272.889538,0,382.559619,1.191455003,0,09/12/2014 10:43:00
55.89296379,42.46224685,33,272.2128,272.8900694,0,382.5728802,1.190892597,0,09/12/2014 10:43:00
55.79415808,42.41303925,33,243.0584,272.8905846,0,382.5857359,1.190347385,0,09/12/2014 10:43:00
55.59343074,42.31307223,33,259.168,272.8916312,0,382.6118529,1.189239767,0,09/12/2014 10:43:00
55.49231321,42.26271329,33,229.4635,272.8921584,0,382.6250095,1.188681799,0,09/12/2014 10:43:00
55.39039156,42.21195387,33,255.8675,272.8926899,0,382.6382707,1.188119393,0,09/12/2014 10:43:00
55.18966421,42.11198686,33,230.2493,272.8937365,0,382.6643877,1.187011775,0,09/12/2014 10:43:00
55.09010465,42.06240383,33,266.8691,272.8942556,0,382.6773415,1.186462403,0,09/12/2014 10:43:00
54.98974098,42.01242032,33,234.9643,272.8947789,0,382.6904,1.185908594,0,09/12/2014 10:43:00
54.88937729,41.96243681,33,249.738,272.8953022,0,382.6783715,1.185354785,0,09/12/2014 10:43:00
54.78745565,41.9116774,33,261.2112,272.8958336,0,382.6661562,1.184792379,0,09/12/2014 10:43:00
54.68870021,41.86249483,33,230.3279,272.8963486,0,382.6543204,1.184247444,0,09/12/2014 10:43:00
54.58677856,41.81173541,33,256.4176,272.89688,0,382.6421052,1.183685038,0,09/12/2014 10:43:00
54.38524709,41.71136793,33,241.4867,272.8979308,0,382.6179517,1.182572983,0,09/12/2014 10:43:00
54.28649165,41.66218536,33,262.0756,272.8984457,0,382.6061159,1.182028048,0,09/12/2014 10:43:00
54.18457,41.61142595,33,235.7501,272.8989772,0,382.5939007,1.181465642,0,09/12/2014 10:43:00
54.10170874,41.56181788,33,256.8105,272.8994965,0,382.5819625,1.180915993,0,09/12/2014 10:43:00
54.01826218,41.5118594,33,245.7302,272.9000196,0,382.5699399,1.180362461,0,09/12/2014 10:43:00
53.34843211,41.11084,33,255.2252385,272.9042181,0,382.4734346,1.175919232,0,09/12/2014 10:44:00
53.26431665,41.52203552,33,256.4176,272.9047453,0,382.4613157,1.175361264,0,09/12/2014 10:44:00
53.18212429,41.92383,33,250.1898004,272.9052605,0,382.4494739,1.174816052,0,09/12/2014 10:44:00
53.0973399,41.95140792,33,243.7656,272.905792,0,382.4372586,1.174253646,0,09/12/2014 10:44:00
53.01518936,41.97812914,33,262.3113,272.9063069,0,382.4254228,1.173708711,0,09/12/2014 10:44:00
52.93040498,42.00570706,33,234.4928,272.9068383,0,382.4132076,1.173146305,0,09/12/2014 10:44:00
52.84691661,42.03286343,33,261.4469,272.9073616,0,382.401179,1.172592496,0,09/12/2014 10:44:00
52.76405535,42.05981581,33,249.3451,272.907881,0,382.3892408,1.172042847,0,09/12/2014 10:44:00
52.68060878,42.08695858,33,227.9704,272.908404,0,382.3772183,1.171489315,0,09/12/2014 10:44:00
52.59712042,42.11411495,33,267.8122,272.9089274,0,382.3651898,1.170935506,0,09/12/2014 10:44:00
52.51233604,42.14169287,33,241.9582,272.9094588,0,382.3529745,1.1703731,0,09/12/2014 10:44:00
52.34602821,42.19578803,33,267.8122,272.9105012,0,382.3290138,1.169269919,0,09/12/2014 10:44:00
52.26253984,42.2229444,33,231.821,272.9110245,0,382.3169853,1.16871611,0,09/12/2014 10:44:00
