SURJEK_FLOW_METER_1,SURJEK_FLOW_METER_2,ROTATIONAL_PUMP_RPM,SURJEK_PUMP_TORQUE,MAXIMUM_DAILY_PUMP_TORQUE,SURJEK_AMMONIA_FLOW_RATE,SURJEK_TUBE_PRESSURE,SURJEK_ESTIMATED_EFFICIENCY,PUMP FAILURE (1 or 0),TIMEFRAME
0,-6.525879,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-2.087402,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-8.327637,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-8.230678802,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-7.998047,0,0,0,0,378.3464616,0,0,09/12/2014 0:30
0,-4.240723,0,0,0,0,378.3663578,0,0,09/12/2014 0:30
0,-6.102585381,0,0,0,0,379.0283,0,0,09/12/2014 0:31
0,-6.485887431,0,0,0,0,377.1973,0,0,09/12/2014 0:31
0,-7.80077809,0,0,0,0,377.1973,0,0,09/12/2014 0:32
0,-7.910156,0,0,0,0,379.0174102,0,0,09/12/2014 0:32
0,-5.677802312,0,0,0,0,380.8594,0,0,09/12/2014 0:32
0,-4.592285,0,0,0,0,377.1973,0,0,09/12/2014 0:32
0,-8.481445,0,0,0,0,377.3164407,0,0,09/12/2014 0:32
0,-7.404210172,0,0,0,0,379.9438,0,0,09/12/2014 0:33
0,-7.307271511,0,0,0,0,378.1128,0,0,09/12/2014 0:33
0,-6.328125,0,0,0,0,377.7969713,0,0,09/12/2014 0:34
0,-6.28418,0,0,0,0,377.7657033,0,0,09/12/2014 0:34
0,-5.163574,0,0,0,0,377.5917841,0,0,09/12/2014 0:34
0,-9.09668,0,0,0,0,377.5762802,0,0,09/12/2014 0:34
0,-6.108398,0,0,0,0,377.4973802,0,0,09/12/2014 0:34
0,-8.547363,0,0,0,0,377.2449319,0,0,09/12/2014 0:35
0,-4.328613,0,0,0,0,377.2291756,0,0,09/12/2014 0:35
