SURJEK_FLOW_METER_1,SURJEK_FLOW_METER_2,ROTATIONAL_PUMP_RPM,SURJEK_PUMP_TORQUE,MAXIMUM_DAILY_PUMP_TORQUE,SURJEK_AMMONIA_FLOW_RATE,SURJEK_TUBE_PRESSURE,SURJEK_ESTIMATED_EFFICIENCY,PUMP FAILURE (1 or 0),TIMEFRAME
0.098897468,0.064231587,-1,-2.241679722,-2.085571603,0,377.1662791,0,0,10/12/2014 8:34:00
0.100091133,0.064496567,-1,-2.239189487,-2.083437146,0,375.3662,0,0,10/12/2014 8:36:00
0.100342175,0.064552295,-1,-2.238665761,-2.082988245,0,375.3662,0,0,10/12/2014 8:37:00
0.101764691,0.064868077,-1,-2.235698098,-2.08044457,0,375.3662,0,0,10/12/2014 8:39:00
0.103020225,0.065146791,-1,-2.233078792,-2.078199483,0,375.3662,0,0,10/12/2014 8:41:00
0.103208258,0.065188532,-1,-2.232686516,-2.077863252,0,378.1128,0,0,10/12/2014 8:41:00
0.103229969,0.065193351,-1,-2.232641222,-2.077824429,0,374.4507,0,0,10/12/2014 8:41:00
0.104129349,0.065393003,-1,-2.230764929,-2.076216201,0,375.3662,0,0,10/12/2014 8:43:00
0.104903527,0.065564861,-1,-2.229149833,-2.074831853,0,375.3662,0,0,10/12/2014 8:44:00
0.10609622,0.065829625,-1,-2.226661627,-2.072699136,0,375.3662,0,0,10/12/2014 8:46:00
0.1088172,0.06643365,-1,-2.220985096,-2.067833609,0,375.3662,0,0,10/12/2014 8:50:00
0.109005065,0.066475354,-1,-2.22059317,-2.067497677,0,375.3662,0,0,10/12/2014 8:51:00
0.109090434,0.066494305,-1,-2.220415073,-2.067345024,0,374.4507,0,0,10/12/2014 8:51:00
0.111788395,0.067093221,-1,-2.214786564,-2.062520658,0,375.3662,0,0,10/12/2014 8:55:00
0.111913921,0.067121086,-1,-2.21452469,-2.062296198,0,374.4507,0,0,10/12/2014 8:55:00
0.112562573,0.067265079,-1,-2.213171468,-2.06113631,0,375.3662,0,0,10/12/2014 8:56:00
0.113442041,0.067460311,-1,-2.211336714,-2.059563687,0,375.3662,0,0,10/12/2014 8:58:00
0.114718303,0.067743626,-1,-2.208674166,-2.057281536,0,375.3662,0,0,10/12/2014 9:00:00
0.115932048,0.068013063,-1,-2.206142042,-2.055111175,0,375.3662,0,0,10/12/2014 9:02:00
0.116831542,0.06821274,-1,-2.204265509,-2.053502741,0,373.5352,0,0,10/12/2014 9:03:00
0.11685295,0.068217492,-1,-2.204220848,-2.053464461,0,377.1973,0,0,10/12/2014 9:03:00
0.118129044,0.06850077,-1,-2.20155865,-2.05118261,0,374.4507,0,0,10/12/2014 9:05:00
0.118715587,0.068630975,-1,-2.200335,-2.050133783,0,374.4507,0,0,10/12/2014 9:06:00
0.120159102,0.068951419,-1,-2.197323387,-2.047552558,0,374.4507,0,0,10/12/2014 9:08:00
0.122611106,0.069495735,-1,-2.192207757,-2.043168,0,375.3301184,0,0,10/12/2014 9:12:00
0.122711709,0.069518067,-1,-2.191997868,-2.042928124,0,375.3662,0,0,10/12/2014 9:12:00
0.131250046,0.071413477,-1,-2.17418429,-2.022569469,0,373.5352,0,0,10/12/2014 9:26:00
0.131354677,0.071436704,-1,-2.173965997,-2.022319988,0,375.3662,0,0,10/12/2014 9:26:00
0.13233862,0.071655128,-1,-2.171913192,-2.019973893,0,375.3662,0,0,10/12/2014 9:28:00
0.134117311,0.072049976,-1,-2.168202299,-2.015732814,0,373.5352,0,0,10/12/2014 9:31:00
0.135686415,0.072398298,-1,-2.164928669,-2.011991471,0,375.3662,0,0,10/12/2014 9:33:00
0.137151212,0.072723466,-1,-2.161872655,-2.008498836,0,376.2817,0,0,10/12/2014 9:35:00
0.137193326,0.072732815,-1,-2.161784792,-2.00839842,0,374.4507,0,0,10/12/2014 9:35:00
0.137465096,0.072793144,-1,-2.161217798,-2.007750417,0,374.4507,0,0,10/12/2014 9:36:00
0.142927135,0.074005653,-1,-2.149822317,-1.994726831,0,374.4507,0,0,10/12/2014 9:45:00
0.143136387,0.074052104,-1,-2.149385753,-1.994227894,0,372.6196,0,0,10/12/2014 9:45:00
0.143199228,0.074066054,-1,-2.149254646,-1.994078055,0,374.4507,0,0,10/12/2014 9:45:00
0.143680418,0.074172872,-1,-2.148250738,-1.992930717,0,375.3662,0,0,10/12/2014 9:46:00
0.148053893,0.075143732,-1,-2.139126333,-1.982502682,0,375.3662,0,0,10/12/2014 9:53:00
0.14889108,0.075329578,-1,-2.137379706,-1.980506509,0,375.3662,0,0,10/12/2014 9:54:00
0.15066975,0.075724422,-1,-2.133668856,-1.97626548,0,375.3662,0,0,10/12/2014 9:57:00
0.151025099,0.075803305,-1,-2.13292749,-1.975418192,0,375.3662,0,0,10/12/2014 9:57:00
0.15150678,0.075910232,-1,-2.131922557,-1.974269681,0,375.3662,0,0,10/12/2014 9:58:00
0.154269047,0.076523423,-1,-2.126159623,-1.96768338,0,375.3662,0,0,10/12/2014 10:03:00
0.15449887,0.076574441,-1,-2.125680142,-1.967135395,0,376.2817,0,0,10/12/2014 10:03:00
0.155568495,0.076811885,-1,-2.123448577,-1.964585,0,376.2817,0,0,10/12/2014 10:05:00
0.155586942,0.07681598,-1,-2.123410092,-1.964556494,0,376.2817,0,0,10/12/2014 10:05:00
0.155628889,0.076825292,-1,-2.123322578,-1.964491672,0,374.4507,0,0,10/12/2014 10:05:00
0.156382172,0.076992512,-1,-2.121751,-1.963327589,0,375.7958124,0,0,10/12/2014 10:06:00
0.156654276,0.077052915,-1,-2.121183321,-1.962907094,0,376.2817,0,0,10/12/2014 10:06:00
0.156696055,0.07706219,-1,-2.121096159,-1.962842531,0,374.4507,0,0,10/12/2014 10:06:00
0.158078089,0.077368985,-1,-2.118212883,-1.960706811,0,375.3662,0,0,10/12/2014 10:09:00
0.158642198,0.077494211,-1,-2.117036006,-1.959835067,0,373.5352,0,0,10/12/2014 10:10:00
0.158809996,0.07753146,-1,-2.116685938,-1.959575762,0,376.2817,0,0,10/12/2014 10:10:00
0.159249405,0.077629004,-1,-2.115769217,-1.958896723,0,374.4507,0,0,10/12/2014 10:11:00
0.160734752,0.077958733,-1,-2.112670404,-1.956601349,0,374.4507,0,0,10/12/2014 10:13:00
0.164250648,0.07873922,-1,-2.105335347,-1.951168075,0,373.5352,0,0,10/12/2014 10:19:00
0.165904284,0.079106308,-1,-2.10188544,-1.948612637,0,374.4507,0,0,10/12/2014 10:21:00
0.167912776,0.079552169,-1,-2.09769521,-1.945508821,0,376.2817,0,0,10/12/2014 10:24:00
0.170695458,0.080169892,-1,-2.091889825,-1.941208618,0,374.4507,0,0,10/12/2014 10:29:00
0.170863255,0.080207141,-1,-2.091539757,-1.940949313,0,375.3662,0,0,10/12/2014 10:29:00
0.171449232,0.080337221,-1,-2.090317259,-1.940043775,0,375.3662,0,0,10/12/2014 10:30:00
0.173834785,0.080866785,-1,-2.085340385,-1.936357272,0,375.3662,0,0,10/12/2014 10:34:00
0.178208261,0.081837645,-1,-2.076216198,-1.929598742,0,375.3662,0,0,10/12/2014 10:41:00
0.183209995,0.082947971,-1,-2.065781301,-1.921869334,0,375.3662,0,0,10/12/2014 10:49:00
0.184360406,0.083203349,-1,-2.063381249,-1.920091552,0,375.3662,0,0,10/12/2014 10:51:00
0.185678782,0.083496012,-1,-2.06063078,-1.918054205,0,374.4507,0,0,10/12/2014 10:53:00
0.185783905,0.083519349,-1,-2.060411466,-1.917891754,0,375.3662,0,0,10/12/2014 10:53:00
0.186181515,0.083607613,-1,-2.059581951,-1.91727731,0,375.3662,0,0,10/12/2014 10:53:00
0.186391102,0.083654139,-1,-2.059144699,-1.916953425,0,374.4507,0,0,10/12/2014 10:54:00
0.187059999,0.083802626,-1,-2.057749207,-1.915919747,0,376.2817,0,0,10/12/2014 10:55:00
0.187185526,0.083830492,-1,-2.057487327,-1.915725766,0,374.4507,0,0,10/12/2014 10:55:00
0.189361816,0.084313602,-1,-2.052947029,-1.912362646,0,373.5352,0,0,10/12/2014 10:59:00
0.189445552,0.084332191,-1,-2.052772333,-1.912233244,0,377.1973,0,0,10/12/2014 10:59:00
0.189508227,0.084346104,-1,-2.052641579,-1.912136391,0,373.5352,0,0,10/12/2014 10:59:00
0.190847497,0.084643406,-1,-2.049847518,-1.910066754,0,375.3662,0,0,10/12/2014 11:01:00
0.190910339,0.084657356,-1,-2.049716414,-1.909969643,0,377.1973,0,0,10/12/2014 11:01:00
0.190931234,0.084661995,-1,-2.049672822,-1.909937353,0,373.5352,0,0,10/12/2014 11:01:00
0.192270505,0.084959297,-1,-2.046878761,-1.907867717,0,374.4507,0,0,10/12/2014 11:03:00
